qso_name,set,ra,dec,z_dlas,nhi_dlas
PSSJ2344+0342_VIS,XQ,356.0127202930,3.7067570940,"3.8835,3.2200,3.8848","19.9000,21.3000,19.8819"
BRJ0415-4357_VIS,XQ,63.8132681794,-43.9641061551,"3.8080,3.8088,3.9144","20.5000,20.4397,19.6349"
SDSSJ095937.11+131215.4_VIS,XQ,149.9051584637,13.2049149588,3.9130,20.3980
BRI1108-0747_VIS,XQ,167.8079079487,-8.0677663618,3.6075,20.4352
J2239536-055219_VIS,XQ,339.9734380840,-5.8726042680,4.0805,20.6000
PSSJ0211+1107_UVB,XQ,32.8337514565,11.1207208732,3.5015,20.1425
BRJ0006-6208_VIS,XQ,1.7150372322,-62.1335523612,"4.1460,3.7750,3.2030,3.7768,4.1448","19.8000,21.0000,20.9000,21.1815,19.8377"
J1621-0042_UVB,XQ,245.3210215814,-0.7147039674,3.1050,20.4095
PMNJ0100-2708_UVB,XQ,15.0519677128,-27.1478110055,3.2425,19.9631
BRI0952-0115_VIS,XQ,148.7500695493,-1.5023549713,4.0138,20.9538
