#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-08-10T15:09:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b6daaa7b10e	
#INFO	-out.max=1000	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=1000
#-nav=cat:J/AJ/154/114&tab:{J/AJ/154/114/table3}&key:source=J/AJ/154/114/table3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/154/114/table3
#-order=I
#-out=KODIAQ
#-out=Nd
#-out=zem
#-out=Exp
#-out=Olam0
#-out=Olam1
#-out=Rlam0
#-out=Rlam1
#-out=DR1
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_51540114
#Name: J/AJ/154/114
#Title: KODIAQ DR2 (O'Meara+, 2017)
#Table	J_AJ_154_114_table3:
#Name: J/AJ/154/114/table3
#Title: from the second Data Release (DR2) of the Keck Observatory Database of Ionized Absorption toward Quasars (KODIAQ)
#Column	KODIAQ	(A14)	Quasar designation (JHHMMSS+DDMMSS format) in Keck Observatory Database of Ionized Absorption toward Quasars (KODIAQ)	[ucd=meta.id;meta.main]
#Column	Nd	(I3)	Number of new observations since DR1 (table2) [NULL integer written as an empty string]	[ucd=meta.number]
#Column	zem	(F6.3)	[0/5.3] Emission line derived redshift	[ucd=src.redshift]
#Column	Exp	(I6)	[600/114000] Total exposure time	[ucd=time.duration;obs.exposure]
#Column	Olam0	(I4)	[2995/6215] Lower observed wavelength of coverage; in {AA}	[ucd=em.wl]
#Column	Olam1	(I4)	[4602/9725] Upper observed wavelength of coverage; in {AA}	[ucd=em.wl]
#Column	Rlam0	(I4)	[743/6031] Lower rest wavelength; in {AA} (1)	[ucd=em.wl]
#Column	Rlam1	(I4)	[1195/8388] Upper rest wavelength; in {AA} (1)	[ucd=em.wl]
#Column	DR1	(I3)	Indicates a quasar in the DR1 (O'Meara et al. 2015, Cat. J/AJ/150/111) [NULL integer written as an empty string]	[ucd=meta.number]
#Column	_RA	(F7.3)	Positions from KODIAQ names (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F8.4)	Positions from KODIAQ names (declination part)	[ucd=pos.eq.dec;meta.main]
KODIAQ	Nd	zem	Exp	Olam0	Olam1	Rlam0	Rlam1	DR1	_RA	_DE
 	 	 	s	0.1nm	0.1nm	0.1nm	0.1nm	 	deg	deg
--------------	---	------	------	----	----	----	----	---	-------	--------
J000150-015940	  1	 2.810	 25000	4111	6520	1079	1711	  0	000.458	-01.9944
J000520+052410	  3	 1.887	 19600	3217	4888	1114	1693	  0	001.333	+05.4028
J000931+021707	  0	 2.350	  1200	3334	6198	 995	1850	  1	002.379	+02.2853
J001602-001224	  2	 2.087	 14400	3766	6875	1219	2227	  0	004.008	-00.2067
J001708+813508	  3	 3.366	 19800	4414	7791	1010	1784	  0	004.283	+81.5856
J002127-020333	  0	 2.596	   700	3366	6198	 936	1723	  1	005.362	-02.0592
J002208-150539	  1	 4.528	 13500	5293	7792	 957	1409	  0	005.533	-15.0942
J002830-281704	  0	 2.400	   600	3366	6198	 989	1822	  1	007.125	-28.2844
J002952+020606	  0	 2.333	  1000	3367	6198	1010	1859	  1	007.467	+02.1017
J003501-091817	  0	 2.418	 16200	3123	5980	 913	1749	  1	008.754	-09.3047
J004054-091526	  0	 4.976	  7200	5453	8570	 912	1434	  1	010.225	-09.2572
J004351-265128	  0	 2.786	  1500	3370	6198	 890	1637	  1	010.962	-26.8578
J004358-255115	  0	 2.501	   900	3365	6198	 961	1770	  1	010.992	-25.8542
J004434-261121	  2	 3.289	  4772	4107	6564	 957	1530	  0	011.142	-26.1892
J004448+372114	  0	 2.410	   900	3368	6198	 987	1817	  1	011.200	+37.3539
J004530-261709	  0	 3.440	 14400	3973	8543	 894	1924	  1	011.375	-26.2858
J005202+010129	  0	 2.270	  1000	3366	6198	1029	1895	  1	013.008	+01.0247
J005233+014040	  1	 2.307	  3600	5281	7635	1596	2308	  0	013.137	+01.6778
J005700+143737	  0	 2.643	  1100	3366	6198	 923	1701	  1	014.250	+14.6269
J005814+011530	  0	 2.494	  4800	3368	6250	 963	1788	  2	014.558	+01.2583
J010054+021136	  3	 1.959	 30400	3218	4889	1087	1652	  0	015.225	+02.1933
J010311+131617	  1	 2.721	 27000	3123	6896	 839	1853	  1	015.796	+13.2714
J010741-263328	  0	 2.460	   900	3133	6031	 905	1743	  1	016.921	-26.5578
J010806+163550	  3	 2.652	 97904	3048	6655	 834	1822	  1	017.025	+16.5972
J010925-210257	  0	 3.226	  5400	3304	6179	 781	1462	  1	017.354	-21.0492
J011150+140141	  0	 2.470	   900	3133	6031	 902	1738	  1	017.958	+14.0281
J012156+144823	  3	 2.870	 60600	3244	6254	 838	1616	  1	020.483	+14.8064
J012227-042127	  5	 1.953	 30175	3316	6051	1122	2049	  0	020.612	-04.3575
J013301-400628	  1	 3.023	 47938	3339	4899	 829	1217	  0	023.254	-40.1078
J013340+040059	  0	 4.150	  7200	4159	8742	 807	1697	  1	023.417	+04.0164
J013421+330756	  2	 4.520	  9000	5597	8578	1013	1553	  0	023.587	+33.1322
J013515-021349	  1	 1.820	  7200	3892	6282	1380	2227	  0	023.812	-02.2303
J014516-094517	  1	 2.729	 49000	3022	6167	 810	1653	  0	026.317	-09.7547
J014944+150106	  0	 2.070	  1200	3176	6038	1034	1966	  1	027.433	+15.0183
J015227-200107	  1	 2.147	  4440	3177	6528	1009	2074	  1	028.112	-20.0186
J015234+335033	  1	 2.431	 17600	4069	6526	1185	1902	  0	028.142	+33.8425
J015741-010629	  2	 3.564	 13400	3937	6294	 862	1379	  0	029.421	-01.1081
J020346+113445	  1	 3.610	 40500	4473	6914	 970	1499	  0	030.942	+11.5792
J020455+364917	  1	 2.912	 33900	3157	6384	 807	1631	  3	031.229	+36.8214
J020944+051714	  0	 4.180	 69300	5193	8319	1002	1605	  2	032.433	+05.2872
J020950-000506	  0	 2.828	 26930	3022	9219	 789	2408	  3	032.458	-00.0850
J021129+124110	  0	 2.953	 10200	3681	6588	 931	1666	  1	032.871	+12.6861
J021857+081727	  2	 2.995	 12600	5229	7674	1308	1920	  0	034.737	+08.2908
J022554+005451	  0	 2.975	 10800	3571	6485	 898	1631	  1	036.475	+00.9142
J022839-101110	  2	 2.256	 18000	3760	6198	1154	1903	  0	037.162	-10.1861
J022853-033737	  0	 2.066	   800	3177	6039	1036	1969	  1	037.221	-03.6269
J023145+132254	  1	 2.059	  5000	3176	6039	1038	1974	  1	037.937	+13.3817
J023359+004938	  0	 2.522	  1080	3174	6033	 901	1712	  1	038.496	+00.8272
J023838+163659	  2	 0.940	  9600	3834	6178	1976	3184	  0	039.658	+16.6164
J023924-090138	  0	 2.471	  1080	3133	6032	 902	1737	  1	039.850	-09.0272
J024008-230915	  2	 2.225	 12000	3504	5045	1086	1564	  0	040.033	-23.1542
J024401-013403	  2	 4.010	 11400	4469	6921	 892	1381	  0	041.004	-01.5675
J024854+180249	  2	 4.403	 13000	5929	8507	1097	1574	  0	042.225	+18.0469
J025127+341442	  0	 2.230	   780	3133	6031	 969	1867	  1	042.862	+34.2450
J025515+014828	  0	 2.470	   840	3157	6030	 909	1737	  1	043.812	+01.8078
J025518+004847	  2	 3.988	 11200	5800	8156	1162	1635	  0	043.825	+00.8131
J025625-011911	  2	 2.490	 13800	4030	6423	1154	1840	  0	044.104	-01.3197
J025644+001246	  0	 2.251	   900	3157	6030	 971	1854	  1	044.183	+00.2128
J025905+001121	  6	 3.365	 41700	3806	6791	 871	1555	  0	044.771	+00.1892
J030046+022245	  0	 2.520	   900	3133	6033	 890	1713	  1	045.192	+02.3792
J030341-002321	  1	 3.175	 15000	3536	6423	 846	1538	  1	045.921	-00.3892
J030449-000813	  2	 3.295	 20833	4226	6712	 983	1562	  0	046.204	-00.1369
J030449-221151	  1	 1.409	  3600	3765	5333	1562	2213	  0	046.204	-22.1975
J031003-004645	  0	 2.114	  1200	3133	6032	1006	1937	  1	047.512	-00.7792
J032412-320259	  1	 3.302	  7400	3820	5357	 887	1245	  0	051.050	-32.0497
J033900-013318	  2	 3.197	 43300	3686	7198	 878	1715	  2	054.750	-01.5550
J034943-381031	  1	 3.222	 14489	4853	7333	1149	1736	  0	057.429	-38.1753
J035116+061914	  2	 2.059	 12000	3500	5050	1144	1650	  0	057.817	+06.3206
J040241-064124	  0	 2.432	  3600	2995	5882	 872	1713	  1	060.671	-06.6900
J042408+020424	  3	 2.044	 23200	3316	6080	1089	1997	  0	066.033	+02.0733
J042707-130253	  5	 2.166	 25800	3455	6978	1091	2204	  0	066.779	-13.0481
J043038-133546	  1	 3.249	  6000	4382	6791	1031	1598	  0	067.658	-13.5961
J045142-132033	  2	 3.093	 12000	3686	6183	 900	1510	  0	072.925	-13.3425
J045213-164012	  0	 2.684	 17400	3100	5979	 841	1622	  2	073.054	-16.6700
J045312-130546	  1	 2.300	  7200	4253	6721	1288	2036	  0	073.300	-13.0961
J045608-215909	  1	 0.534	  3000	3882	6179	2530	4028	  0	074.033	-21.9858
J050112-015914	  1	 2.286	 31240	3889	6298	1183	1916	  0	075.300	-01.9872
J053007-250329	  3	 2.765	 30000	3504	6527	 930	1733	  0	082.529	-25.0581
J055246-363727	  2	 2.318	 12600	4537	7023	1367	2116	  0	088.192	-36.6242
J064204+675835	  7	 3.177	 70200	3470	6541	 830	1565	  0	100.517	+67.9764
J064632+445116	  1	 3.408	  6000	4493	5900	1019	1338	  0	101.633	+44.8544
J073149+285448	  0	 3.675	  7200	4160	8768	 889	1875	  1	112.954	+28.9133
J074110+311200	  0	 0.631	  1800	3076	5934	1885	3638	  1	115.292	+31.2000
J074521+473436	  7	 3.220	 69300	3575	6591	 847	1561	  1	116.337	+47.5767
J074711+273903	  1	 4.154	  1000	5822	8185	1129	1588	  0	116.796	+27.6508
J074749+443417	  0	 4.435	 14400	4850	9459	 892	1740	  2	116.954	+44.5714
J074927+415242	  0	 3.111	 12600	3571	8127	 868	1976	  1	117.362	+41.8783
J075054+425219	  3	 1.896	 22700	3027	4890	1045	1688	  0	117.725	+42.8719
J080117+521034	  4	 3.235	 41400	4043	6759	 954	1595	  0	120.321	+52.1761
J080342+302254	  1	 2.030	  3600	3849	6080	1270	2006	  0	120.925	+30.3817
J080447+101523	  2	 1.948	 12000	3400	4920	1153	1668	  0	121.196	+10.2564
J080518+614423	  0	 3.033	  5400	3987	8534	 988	2116	  1	121.325	+61.7397
J081240+320808	  4	 2.711	 71101	3331	7177	 897	1933	  1	123.167	+32.1356
J081336+481302	  3	 0.870	 19200	3857	6080	2062	3251	  0	123.400	+48.2172
J081435+502946	  0	 3.883	 21600	4024	9725	 824	1991	  2	123.646	+50.4961
J081740+135134	  0	 4.389	  7200	4935	8006	 915	1485	  1	124.417	+13.8594
J082107+310751	  0	 2.625	 16420	3058	5981	 843	1649	  2	125.279	+31.1308
J082540+354414	  0	 3.846	 10800	5180	9716	1068	2004	  1	126.417	+35.7372
J082619+314848	  0	 3.093	  7900	3842	8362	 938	2043	  1	126.579	+31.8133
J082849+085854	  0	 2.271	  1293	3153	5992	 963	1831	  1	127.204	+08.9817
J083052+241059	  0	 0.941	  1800	3051	5936	1571	3058	  1	127.717	+24.1831
J083102+335803	  0	 2.427	 18600	3123	5979	 911	1744	  1	127.758	+33.9675
J083141+524517	  5	 3.911	 30300	4397	7783	 895	1584	  0	127.921	+52.7547
J083712+145917	  1	 2.512	  4409	3105	4648	 884	1323	  0	129.300	+14.9881
J083933+111207	  1	 2.696	  9987	4061	6517	1098	1763	  0	129.887	+11.2019
J084044+363327	  2	 1.225	 13200	3882	6423	1744	2886	  0	130.183	+36.5575
J084424+124548	  3	 0.072	 32400	3403	7191	3174	6708	  0	131.100	+12.7633
