qso_name, set, ra, dec, z_dlas, nhi_dlas
J005814+011530,KOD,14.5595768407,1.2585822763,2.0306,20.5973
J010311+131617,KOD,15.7961172220,13.2714990724,2.3110,21.4729
J013340+040059,KOD,23.4185765458,4.0138887663,"3.6903,3.7770,3.9909","20.6890,20.7297,19.7522"
J020346+113445,KOD,30.9443674011,11.5795006744,3.3911,21.2752
J020455+364917,KOD,31.2299775823,36.8216749850,2.4613,20.8009
J020944+051714,KOD,32.4362014150,5.2871674981,"3.6661,3.8630","20.5232,20.5475"
J021129+124110,KOD,32.8739089511,12.6904730997,"2.5920","21.1258"
J022554+005451,KOD,36.4804518773,0.9143345874,2.7108,21.5243
J031003-004645,KOD,47.5118687150,-0.7792198533,"1.7784","20.2518"
J033900-013318,KOD,54.7541604482,-1.5550524999,"3.0514","20.8329"
J034943-381031,KOD,57.4308051496,-38.1732845118,3.0241,20.8018
J064632+445116,KOD,101.6336589513,44.8546170351,"3.1226","19.5543"
J074521+473436,KOD,116.3399938439,47.5762282977,3.0184,20.6816
J074711+273903,KOD,116.7995770959,27.6538116293,"3.8968","20.4336"
J074749+443417,KOD,116.9598272214,44.5652838508,"4.0214","20.8345"
J080117+521034,KOD,120.3243428883,52.1769147397,"3.0431","20.2624"
J081435+502946,KOD,123.6469531348,50.4962282245,"3.7049","21.0828"
J082540+354414,KOD,126.4151612030,35.7368948379,3.6538,21.0857
J082619+314848,KOD,126.5842027569,31.8141726119,"2.8562,2.9113","19.6784,20.3124"
J082849+085854,KOD,127.2051188490,8.9817559312,2.0433,20.1615
J083102+335803,KOD,127.7607029064,33.9673670292,"2.3047","20.5040"
J083933+111207,KOD,129.8866460437,11.2015436958,"2.4679","20.5187"
J092914+282529,KOD,142.3111618368,28.4249776021,"3.2472","20.8026"
J093337+284532,KOD,143.4041619142,28.7592275472,3.2369,20.9279
J095309+523029,KOD,148.2876647036,52.5082550561,"1.7684","20.3850"
J095500-013000,KOD,148.7474573990,-1.5001325459,"4.0189","20.8058"
J095714+544017,KOD,149.3098735258,54.6747549951,2.4488,20.6014
J100841+362319,KOD,152.1712047053,36.3902825937,"2.7965,2.9465","20.9216,20.0851"
J101447+430030,KOD,153.6958722159,43.0046158267,2.9561,20.6844
J101939+524627,KOD,154.9141654845,52.7748935219,"2.0152","20.7315"
J102156+300140,KOD,155.4853709397,30.0278934824,2.9486,20.8469
J102410+060013,KOD,156.0422857289,6.0040323324,"1.8950","20.8508"
J103514+544040,KOD,158.8078746222,54.6760599107,"2.4583,2.6862,2.8459","20.0034,20.9251,19.8500"
J104213+062853,KOD,160.5584108021,6.4807542235,1.9326,20.6627
J111113-080402,KOD,167.8076390123,-8.0672146079,"3.4825,3.6053","20.1426,20.5243"
J115538+053050,KOD,178.9107858344,5.5132804102,"3.3203","20.8115"
J121117+042222,KOD,182.8235357373,4.3733078080,"2.3769","21.0250"
124924-023339,KOD,192.3543267064,-2.5617764912,1.7789,21.5264
J131040+542449,KOD,197.6677520717,54.4139173976,"1.8049","21.5453"
J131341+144140,KOD,198.4224535574,14.6978062069,"1.7808","20.9975"
J141719+413237,KOD,214.3303322802,41.5435823033,"1.9195","20.7489"
J143500+535953,KOD,218.7477517497,53.9980540672,2.3456,21.1430
J143916-015627,KOD,219.8177851068,-1.9410015982,2.0562,20.6034
J144331+272436,KOD,220.8810269806,27.4111830119,"4.2207","20.5097"
J144453+291905,KOD,221.2227985428,29.3181444665,2.4406,20.6055
J145408+511443,KOD,223.5403341334,51.2456646911,"3.2294,3.4037","20.2548,20.7208"
J145435+094100,KOD,223.6432029528,9.6863869030,"1.7866","20.7208"
J150932+111313,KOD,227.3827030839,11.2226087548,"2.0074","20.5005"
J151224+465233,KOD,228.1011245895,46.8765253514,"3.0849","20.5637"
J155556+480015,KOD,238.9867075422,48.0040798982,"3.1321","19.8668"
J155810-003120,KOD,239.5428685936,-0.5210868170,"2.6302,2.6976","19.9552,20.6760"
J162902+091322,KOD,247.2583693642,9.2202458791,1.8879,20.3850
J175603+574848,KOD,269.0147894721,57.8136611832,1.9591,21.8903
J175746+753916,KOD,269.4432455495,75.6544531777,"2.6243,2.9094","21.1281,20.1648"
J194455+770552,KOD,296.2243969792,77.0989084450,2.8429,20.5648
