QSO	PI_DATE	SPEC_PREFIX	Z_EM	QSO_Olam0	QSO_Olam1	QSO_Rlam0	QSO_Rlam1	OBS_Olam0	OBS_Olam1	LyaS2N	DR	S2N	SPECRES	dv	RA	DE
J000150-015940	Wolfe_Sep_29_30_1997	J000150-015940	2.81	4111	6520	1079	1711	4111	6520	6.88	2	9.0	71700	2.60	6.279995717971566	-0.03967327315255555
J000520+052410	Sargent_Oct_12_13_14_1999	J000520+052410	1.887	3217	4888	1114	1693	3307	4849	12.97	2	12.0	95600	2.60	0.012076223982757432	0.08944279121421718
J000520+052410	Sargent_Oct_12_13_14_1999	J000520+052410_spec2	1.887	3217	4888	1114	1693	3340	4888	14.39	2	12.0	95600	2.60	0.012093677275277373	0.08944812416470939
J000520+052410	Steidel_Sep_22_23_24_1998	J000520+052410	1.887	3217	4888	1114	1693	3217	4723	5.82	2	10.0	95600	2.60	0.012078405644322424	0.0894490937920716
J000931+021707	Tytler_Dec_10_12_13_14_2009	J000931+021707	2.35	3334	6198	995	1850	3334	6198	12.32	1	8.0	95500	2.60	0.041550471725811666	0.039884651917519304
J001602-001224	Roth_Nov_11_12_1996	J001602-001224	2.087	3766	6875	1219	2227	3766	6191	-1.00	2	3.0	95600	2.60	0.0699978840922759	-0.0036113771105849334
J001602-001224	Roth_Nov_11_12_1996	J001602-001224_spec2	2.087	3766	6875	1219	2227	3903	6875	-1.00	2	3.0	95600	2.60	0.06998770300497259	-0.0036239822662937817
J001708+813508	Cowie_Aug_5_1995	J001708+813508	3.366	4414	7791	1010	1784	4414	6873	12.38	2	5.0	95600	2.60	0.06141595471611545	1.419111700758794
J001708+813508	Cowie_Aug_5_1995	J001708+813508_spec2	3.366	4414	7791	1010	1784	4437	6911	12.08	2	6.0	95600	2.60	0.06142468136237543	1.4191131551998373
J001708+813508	Roth_Nov_11_12_1996	J001708+813508	3.366	4414	7791	1010	1784	5353	7791	-1.00	2	2.0	95600	2.60	0.07486444382325343	1.4239210524754005
J002127-020333	Tytler_Dec_10_12_13_14_2009	J002127-020333	2.596	3366	6198	936	1723	3366	6198	13.10	1	8.0	95500	2.60	0.09361364331280252	-0.03593778373960657
J002208-150539	Wolfe_Sep_20_21_22_1996	J002208-150539	4.528	5293	7792	957	1409	5293	7792	7.79	2	11.0	71700	2.60	0.08555167660963203	-0.26830849628172604
J002830-281704	Tytler_Dec_10_12_13_14_2009	J002830-281704	2.4	3366	6198	989	1822	3366	6198	5.80	1	5.0	95500	2.60	0.12438088914337588	-0.493665894112915
J002952+020606	Tytler_Dec_10_12_13_14_2009	J002952+020606	2.333	3367	6198	1010	1859	3367	6198	7.34	1	8.0	95500	2.60	0.13032591690798156	0.036681487926428606
J003501-091817	Pettini_Dec_9_2009	J003501-091817	2.418	3123	5980	913	1749	3123	5980	17.06	1	5.0	71600	2.60	0.15277885051436696	-0.16231998375860263
J004054-091526	Wolfe_Jan_15_2011	J004054-091526	4.976	5453	8570	912	1434	5453	8570	4.83	1	3.0	47700	1.30	0.17850645812980667	-0.1615903391685328
J004351-265128	Tytler_Dec_10_12_13_14_2009	J004351-265128	2.786	3370	6198	890	1637	3370	6198	9.51	1	8.0	95500	2.60	0.19138916967108985	-0.4687537431091015
J004358-255115	Tytler_Dec_10_12_13_14_2009	J004358-255115	2.501	3365	6198	961	1770	3365	6198	13.05	1	10.0	95500	2.60	0.1918967695952115	-0.45123936406533843
J004434-261121	Chaffee_Jul_13_1997	J004434-261121	3.289	4107	6564	957	1530	4107	6514	3.76	2	4.0	95600	2.60	0.18369299489031649	-0.4618276948607707
