Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
LBQS 2359-0216B,0.45833,-1.99454,QSO,844515.00,2.817,,18.71,,93,0,14,10,7,0,0
UM 018,1.33423,5.403,QSO,565708.00,1.887,,16.21,,173,5,96,15,7,0,0
LBQS 0006+0200,2.38077,2.28508,QSO,704003.00,2.3483,,17.87,,22,1,5,6,4,0,0
LBQS 0013-0029,4.01001,-0.20696,QSO,626657.00,2.090302,,17.7i,,158,4,25,20,29,5,0
"[HB89] 0014+813",4.28531,81.58559,QSO,1009102.00,3.366,,16.5,,274,2,51,22,13,0,1
LBQS 0018-0220,5.36399,-2.05934,QSO,778261.00,2.596,,17.44,,32,0,26,11,6,0,0
WISEA J002208.03-150539.7,5.53332,-15.09438,QSO,1357460.00,4.528,,19.0,,56,1,16,7,5,0,0
WISEA J002830.47-281705.2,7.12667,-28.285,QSO,719802.00,2.401,,15.9H,,17,0,23,7,2,0,0
LBQS 0027+0149,7.46724,2.10157,QSO,697917.00,2.328,,17.71,,54,0,27,12,7,0,0
SDSS J003501.88-091817.6,8.75785,-9.30491,QSO,726291.00,2.422646,,19.1g,,47,0,29,10,16,8,0
WISEA J004054.63-091526.8,10.22772,-9.25744,QSO,1492036.00,4.976896,,24.5g,,60,0,56,16,24,8,0
LBQS 0041-2707,10.96597,-26.85763,QSO,835222.00,2.786,,17.95,,42,0,22,10,7,0,0
LBQS 0041-2607,10.99494,-25.8541,QSO,749781.00,2.501,,17.15,,40,0,23,9,5,0,0
LBQS 0042-2627,11.14151,-26.1891,QSO,986018.00,3.289,,18.47,,47,0,13,8,6,0,0
WISEA J004448.33+372114.5,11.20125,37.35389,QSO,722500.00,2.41,,17.6,,12,0,25,8,2,0,0
WISEA J004530.48-261709.0,11.37701,-26.28606,QSO,1031286.00,3.44,:,18.34,,21,0,12,6,4,0,0
LBQS 0049+0045,13.01,1.02481,QSO,682834.00,2.277689,,17.6g,,96,0,60,24,30,8,0
UM 288,13.1405,1.67793,QSO,685026.00,2.285,,17.,,51,0,21,10,5,0,0
WISEA J005700.21+143737.8,14.25082,14.62716,QSO,794003.00,2.648508,,17.9g,,34,0,53,15,17,8,0
WISEA J005814.32+011530.1,14.55966,1.25841,QSO,751795.00,2.507718,,17.9g,,51,1,47,22,28,8,0
LBQS 0058+0155,15.22565,2.19348,QSO,585795.00,1.954,,17.19,,156,2,9,8,5,0,0
"[HB89] 0100+130",15.79708,13.27166,QSO,803744.00,2.681,,16.57,,269,1,40,16,11,0,0
LBQS 0105-2649,16.92472,-26.55824,QSO,738389.00,2.463,,17.68,,17,0,5,6,4,0,0
WISEA J010806.42+163549.9,17.02667,16.59722,QSO,791452.00,2.64,,16.9,,39,0,18,8,5,0,0
2MASS J01092523-2102550,17.35471,-21.04833,G,,,,,,4,0,5,5,3,0,0
WISEA J011150.06+140141.4,17.95863,14.02816,QSO,740487.00,2.47,,17.5g,,14,0,26,9,7,4,0
WISE J012156.04+144823.9,20.48342,14.80668,QSO,863817.00,2.881383,,17.2g,,57,0,45,19,22,8,0
"[HB89] 0119-046",20.61633,-4.35763,QSO,577101.00,1.925,,16.1R,,171,2,47,18,4,0,0
TOLOLO 0130-403,23.25818,-40.10779,QSO,906273.00,3.023,,17.02,,78,1,24,9,7,0,0
WISEA J013340.28+040059.5,23.418,4.01662,QSO,1245338.00,4.154,,18.0,,55,1,14,18,14,0,0
WISEA J013421.47+330756.2,23.58958,33.13227,QSO,1358660.00,4.532,,18.8,,36,1,16,6,4,0,0
FBQS J0135-0213,23.81342,-2.23028,QSO,545622.00,1.82,,17.71,,13,0,22,6,2,0,0
"[HB89] 0142-100",26.31921,-9.75481,QSO,820769.00,2.737791,,16.9g,,171,2,52,19,24,8,0
WISEA J014944.43+150106.6,27.43516,15.01853,QSO,621555.00,2.073285,,17.5g,,37,0,56,15,20,8,0
UM 675,28.11383,-20.01864,QSO,641256.00,2.139,,17.1,,67,2,28,12,5,0,0
"[HB89] 0149+335",28.14407,33.84254,QSO,728796.00,2.431,,18.5,,113,2,23,12,6,0,1
WISEA J015741.56-010629.7,29.4232,-1.10824,QSO,1070741.00,3.571607,,19.2g,,50,0,50,18,27,8,0
PKS 0201+113,30.9444,11.57928,QSO,1090945.00,3.639,,20.0,,149,4,53,17,12,0,0
