QSO RA Dec zem zmin zmax zabs logN elogN
"FBQS J0000-1021" 0.21084 -10.3655 2.640 2.307 2.580 nan nan nan
"[HB89] 2359+068" 0.41920 7.1650 3.238 1.632 3.168 nan nan nan
"SDSS J000143.41+152021.4" 0.43088 15.3393 2.638 2.307 2.578 nan nan nan
"[HB89] 2359+003" 0.44475 0.6663 2.897 1.714 2.833 nan nan nan
"LBQS 2359-0216B" 0.45833 -1.9945 2.810 1.747 2.747 2.0951 20.70 0.20
nan nan nan nan nan nan 2.1537 20.30 0.20
"FBQS J0002+0021" 0.58799 0.3637 3.057 2.307 2.990 nan nan nan
"SDSS J000300.34+160027.6" 0.75146 16.0077 3.675 3.428 3.598 nan nan nan
"SDSS J000303.34-105150.6" 0.76396 -10.8641 3.647 3.187 3.571 nan nan nan
"[HB89] 0000-263" 0.84546 -26.0547 4.125 2.307 4.041 3.0545 20.20 0.10
nan nan nan nan nan nan 3.3900 21.40 0.10
"PSS J0003+2730" 0.84625 27.5064 4.240 2.718 4.154 nan nan nan
"[HB89] 0001+087" 0.92751 8.9924 3.241 2.024 3.171 nan nan nan
"SDSS J000413.63-085529.5" 1.05684 -8.9249 2.424 2.307 2.368 nan nan nan
"SDSS J000424.16-085047.9" 1.10070 -8.8467 2.433 2.307 2.377 nan nan nan
"[HB89] 0004+171" 1.69735 17.4705 2.898 2.002 2.834 nan nan nan
"BR J0006-6208" 1.71504 -62.1344 4.440 2.998 4.351 3.2030 20.90 0.15
nan nan nan nan nan nan 3.7750 21.00 0.20
nan nan nan nan nan nan 4.1460 19.80 0.20
"SDSS J000657.53+141546.7" 1.73973 14.2630 3.250 1.899 3.180 nan nan nan
"SDSS J000730.82+160732.5" 1.87846 16.1257 3.501 3.278 3.427 nan nan nan
"PSS J0007+2417" 1.91125 24.2900 4.050 2.758 3.967 3.1940 19.50 0.07
nan nan nan nan nan nan 3.4970 20.95 0.10
nan nan nan nan nan nan 3.7060 20.65 0.15
nan nan nan nan nan nan 3.8390 20.65 0.10
"SDSS J000807.27-103942.7" 2.03036 -10.6619 2.459 2.307 2.402 nan nan nan
"LBQS 0006+0230" 2.23903 2.7934 2.090 1.787 2.039 nan nan nan
"LBQS 0006+0200" 2.38077 2.2851 2.350 1.634 2.295 nan nan nan
"SDSS J000950.50+141002.0" 2.46046 14.1672 3.151 2.456 3.083 nan nan nan
"PKS 0007+016" 2.49443 1.9653 2.900 1.882 2.836 nan nan nan
"LBQS 0007-0004" 2.56871 0.2077 2.290 1.670 2.236 nan nan nan
"SDSS J0010-0037" 2.59227 -0.6170 3.152 2.507 3.084 nan nan nan
"SDSS J001115.23+144601.8" 2.81348 14.7672 4.970 4.037 4.870 nan nan nan
"SDSS J001205.03+144122.2" 3.02097 14.6895 2.522 2.307 2.464 nan nan nan
"LBQS 0009-0138" 3.04500 -1.3686 1.990 1.634 1.941 nan nan nan
"LBQS 0009+0219" 3.08167 2.6100 2.660 1.784 2.600 nan nan nan
"LBQS 0009-0215" 3.08819 -1.9826 2.110 1.634 2.059 nan nan nan
"SDSS J001240.56+135236.7" 3.16905 13.8769 3.187 2.490 3.118 3.0217 20.55 0.15
"SDSS J001255.36-091425.7" 3.23069 -9.2405 3.004 2.594 2.938 nan nan nan
"LBQS 0010-0012" 3.27563 0.0755 2.150 1.634 2.098 2.0233 20.80 0.20
"SDSS J001328.20+135828.0" 3.36754 13.9744 3.575 2.635 3.500 3.2808 21.55 0.15
"PSS J0014+3032" 3.67917 30.5343 4.470 2.866 4.380 nan nan nan
"SDSS J001502.25+001212.5" 3.75943 0.2035 2.852 2.470 2.789 nan nan nan
"SDSS J001512.45+155248.3" 3.80190 15.8801 3.211 2.337 3.142 nan nan nan
"SDSS J001549.08+001731.9" 3.95452 0.2922 3.066 2.920 2.999 nan nan nan
"LBQS 0013-0029" 4.01001 -0.2070 2.080 1.634 2.029 1.9730 20.70 0.20
"SDSS J001617.03-100419.2" 4.07101 -10.0720 2.444 2.307 2.388 nan nan nan
"SDSS J001641.17+010045.2" 4.17156 1.0126 3.038 2.642 2.972 nan nan nan
"[HB89] 0014+813" 4.28531 81.5856 3.380 1.928 3.308 nan nan nan
"LBQS 0014-0256" 4.33840 -2.6557 1.850 1.729 1.803 nan nan nan
"LBQS 0015+0239" 4.54739 2.9443 2.470 1.784 2.413 nan nan nan
"SDSS J001813.88+142455.6" 4.55788 14.4155 4.232 3.351 4.146 nan nan nan
"SDSS J001820.71+141851.5" 4.58632 14.3143 3.937 2.799 3.856 nan nan nan
"SDSS J001918.43+150611.3" 4.82681 15.1032 4.153 3.719 4.068 3.9710 20.40 0.20
"LBQS 0016+0045" 4.83047 1.0312 2.310 1.651 2.256 nan nan nan
"SDSS J001950.05-004040.7" 4.95859 -0.6780 4.327 3.310 4.240 nan nan nan
"SDSS J002120.04+155125.6" 5.33354 15.8571 3.696 2.898 3.619 nan nan nan
"LBQS 0018-0220" 5.36399 -2.0593 2.560 1.634 2.502 nan nan nan
"LBQS 0018+0047" 5.36618 1.0723 1.830 1.655 1.784 nan nan nan
"SDSS J002130.68+140953.5" 5.37787 14.1649 2.413 2.307 2.357 nan nan nan
"SDSS J002146.71-004847.9" 5.44466 -0.8133 2.502 2.307 2.445 nan nan nan
"BR 0019-1522" 5.53332 -15.0944 4.528 2.970 4.437 3.4370 20.92 0.20
"LBQS 0020+0217" 5.85353 2.5662 1.800 1.665 1.754 nan nan nan
"SDSS J002337.54+003127.4" 5.90645 0.5243 2.407 2.307 2.351 nan nan nan
"LBQS 0022+0150" 6.14719 2.1133 2.770 1.791 2.708 nan nan nan
"LBQS 0023+0010" 6.40541 0.4568 1.900 1.657 1.852 nan nan nan
