No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter
"<a HREF=""javascript:void(0)"">1</a>",[HB89] 0000-263,0.84546,-26.05467,QSO,1228550.00,4.098,,18.
"<a HREF=""javascript:void(0)"">2</a>",WISEA J000651.60-620803.6,1.71504,-62.13436,QSO,1335576.00,4.455,,18.29
"<a HREF=""javascript:void(0)"">3</a>",WISEA J003034.37-512946.4,7.64321,-51.49619,QSO,1251334.00,4.174,,18.57
"<a HREF=""javascript:void(0)"">4</a>",WISEA J003454.59+163920.6,8.72842,16.65542,QSO,1287009.00,4.293,,19.5
"<a HREF=""javascript:void(0)"">5</a>",WISEA J004219.75-102009.4,10.58228,-10.33597,QSO,1163678.00,3.88161,,20.1g
"<a HREF=""javascript:void(0)"">6</a>",WISEA J004834.55-244205.8,12.14404,-24.70167,QSO,1244139.00,4.15,,18.94
"<a HREF=""javascript:void(0)"">7</a>",[HB89] 0053-284,14.10446,-28.14247,QSO,1086448.00,3.624,,18.25
"<a HREF=""javascript:void(0)"">8</a>",[HB89] 0055-269,14.49135,-26.7206,QSO,1095742.00,3.655,,17.1
"<a HREF=""javascript:void(0)"">9</a>",WISEA J010012.30-270852.9,15.05104,-27.14772,QSO,1055270.00,3.52,,18.73
"<a HREF=""javascript:void(0)"">10</a>",WISEA J011344.40-280317.4,18.43488,-28.05478,QSO,1289108.00,4.3,,18.67
"<a HREF=""javascript:void(0)"">11</a>",WISEA J011731.07+155217.0,19.37987,15.87119,QSO,1271120.00,4.24,,18.6
"<a HREF=""javascript:void(0)"">12</a>",WISEA J012126.14+034706.7,20.35898,3.78515,QSO,1238143.00,4.13,,17.9
"<a HREF=""javascript:void(0)"">13</a>",WISEA J012403.77+004432.6,21.01571,0.74244,QSO,1151188.00,3.83995,,19.2g
"<a HREF=""javascript:void(0)"">14</a>",XQ-100 J0132+1341,23.04104,13.69431,QSO,1247137.00,4.16,,19.3
"<a HREF=""javascript:void(0)"">15</a>",WISEA J013340.28+040059.5,23.418,4.01662,QSO,1245338.00,4.154,,18.0
"<a HREF=""javascript:void(0)"">16</a>",WISEA J013724.39-422416.9,24.35171,-42.40467,QSO,1190176.00,3.97,,18.46
"<a HREF=""javascript:void(0)"">17</a>",WISEA J015339.60-001104.9,28.41505,-0.18473,QSO,1259798.00,4.202234,,21.5g
"<a HREF=""javascript:void(0)"">18</a>",WISEA J021120.02+110716.6,32.83346,11.12117,QSO,1193174.00,3.98,,18.1V
"<a HREF=""javascript:void(0)"">19</a>",WISEA J021429.30-051744.6,33.62208,-5.29583,QSO,1194973.00,3.986,,20.5B
"<a HREF=""javascript:void(0)"">20</a>",WISEA J023455.15-180608.6,38.72975,-18.10236,QSO,1293305.00,4.314,,18.79
"<a HREF=""javascript:void(0)"">21</a>",WISEA J024401.84-013403.9,41.00765,-1.56776,QSO,1215059.00,4.053,,18.2
"<a HREF=""javascript:void(0)"">22</a>",WISEA J024756.57-055558.8,41.98522,-5.93287,QSO,1270521.00,4.238,,18.6
"<a HREF=""javascript:void(0)"">23</a>",WISE J024854.30+180250.0,42.22625,18.04722,QSO,1325682.00,4.422,,18.4
"<a HREF=""javascript:void(0)"">24</a>",WISEA J025518.59+004847.4,43.82741,0.81318,QSO,1203703.00,4.01512,,20.7g
"<a HREF=""javascript:void(0)"">25</a>",WISE J030722.80-494548.0,46.84533,-49.76333,QSO,1417419.00,4.728,,18.76
"<a HREF=""javascript:void(0)"">26</a>",WISEA J031115.20-172247.6,47.81333,-17.37983,QSO,1210862.00,4.039,,17.73
"<a HREF=""javascript:void(0)"">27</a>",WISEA J040356.65-170321.6,60.98613,-17.05616,QSO,1267223.00,4.227,,18.7
"<a HREF=""javascript:void(0)"">28</a>",WISEA J041515.18-435753.0,63.81321,-43.96469,QSO,1220155.00,4.07,,18.81
"<a HREF=""javascript:void(0)"">29</a>",WISEA J042610.32-220217.8,66.54304,-22.03814,QSO,1295104.00,4.32,,17.94
"<a HREF=""javascript:void(0)"">30</a>",WISEA J052506.16-334305.7,81.27575,-33.71819,QSO,1322984.00,4.413,,18.7
"<a HREF=""javascript:void(0)"">31</a>",WISEA J052915.91-352603.5,82.31621,-35.43433,QSO,1322984.00,4.413,,18.94
"<a HREF=""javascript:void(0)"">32</a>",WISEA J052920.83-355234.3,82.33671,-35.87614,QSO,1250734.00,4.172,,18.29
"<a HREF=""javascript:void(0)"">33</a>",WISEA J071431.38-645510.4,108.63071,-64.91961,QSO,1337674.00,4.462,,18.35
"<a HREF=""javascript:void(0)"">34</a>",WISEA J074711.14+273903.3,116.79647,27.65093,QSO,1250135.00,4.17,,19.9g
"<a HREF=""javascript:void(0)"">35</a>",WISEA J075552.43+134551.2,118.9684,13.76421,QSO,1100766.00,3.67176,,19.5g
